95,72
132,76
94,72
136,76
95,71
137,76
95,71
142,77
147,75
151,73
152,73
152,75
152,75
152,75
153,75
155,74
167,83
157,75
161,75
165,75
166,75
167,75
167,75
168,75
169,75
170,75
171,75
174,75
175,75
176,75
177,75
179,75
182,73
183,73
184,73
185,73
187,73
187,73
188,73
189,73
194,81
193,84
195,84
196,83
201,84
201,84
202,84
205,84
208,84
208,84
209,84
211,84
211,84
212,84
212,84
212,84
214,84
214,84
213,86
213,86
217,84
218,84
219,84
219,84
222,96
223,105
225,104
225,104
228,104
228,104
229,104
230,104
231,104
231,107
232,107
233,107
235,107
233,107
232,107
233,107
237,105
238,105
245,109
244,109
246,109
249,105
249,107
251,107
250,118
250,114
252,114
253,114
254,115
255,115
259,111
257,115
258,115
259,115
260,115
261,115
264,112
263,115
264,115
265,115
266,112
267,112
268,112
269,112
270,112
271,115
272,115
273,115
282,127
282,117
284,117
285,117
286,117
287,117
288,117
289,117
290,116
288,114
293,118
289,114
290,115
288,112
289,112
292,115
290,112
294,115
295,115
294,114
294,114
295,114
295,114
298,115
313,125
314,143
316,143
317,144
318,144
319,144
320,144
321,144
322,144
323,144
324,144
327,146
329,145
329,145
330,145
329,144
330,144
331,144
332,144
333,144
334,144
334,144
335,144
336,144
345,156
345,145
348,144
349,144
350,144
348,144
349,147
353,144
351,147
351,147
356,144
353,146
354,146
356,146
357,146
358,146
359,146
360,146
361,146
359,146
362,143
369,141
370,142
372,142
375,157
379,166
381,166
382,166
383,166
384,166
385,166
386,166
387,166
388,166
389,166
390,166
392,167
390,165
393,166
395,166
394,165
396,166
396,165
397,165
398,165
399,165
400,165
402,166
412,176
